HEADING,BODY,CATEGORY
Mumbai man prays for single buttock in next birth to enable him to sit comfortably as fourth passenger on seat meant for three in local train,"While most people pray for wealth, health, job and relationship, Hiren Desai had something which even the Gods would be shocked to hear. The 30 year old business man from Mira Road, who is a regularly commutes by local train, asked for a single buttock in his next birth in his prayers. The reason for this unique request was to enable him to sit as the fourth passenger on a local train seat meant for three.
Speaking to Faking News Hiren said, “I have been travelling by train since last ten years. And all the seats are already taken when I enter the compartment. Leaving me with that uncomfortable fourth seat, where one of my buttock in left hanging without support. By the end of the day I am left with one sore butt. So my only prayer to the almighty is to give me just one buttock.”
Hiren’s request struck a chord with many other passengers who have been braving heavy rush in local trains for all these years. A city based cosmetic surgeon even offered to surgically remove one of Hiren’s buttock free of charge. “Why wait for the next birth. I will help this man in this life itself,” said the doctor.
After this news went viral on social media, Railways Minister Piyush Goyal assured that he’d set up a special committee to study and find out a solution to this problem. The committee will be headed by a retired IIT professor and a report is expected to to tabled in a year.
TV personality Ekta Kapoor, moved by Hiren’s plight, will produce a TV show titled Agle Janam Mohe Ek Buttock Hi Dijo, that will revolve around local train travelers. Tusshar Kapoor will play the protagonist in the series.",INDIA
'Just trying to fit into Delhi culture by brandishing gun' says ex-BSP MP's son over accusation,"Putting across his side of the story, ex- BSP MPs son Ashish Pandey admitted that he did brandish a gun as seen in the video but it was done to fit into the typical Delhi culture.
While elaborating on the ‘typical Delhi culture’, he said, “It’s a Delhi thing you know. When ‘tu jaanta hai mera baap kaun hai’ doesn’t work then you whip out your gun. It’s done as a scare tactic and no to actually shoot someone.”
“I am from Lucknow and even fights over there done with tehzeeb. I would be treated like an outcast if I tried that in Delhi. So I had to carry a gun and a baseball bat in my car to just to show that I am part of Delhi’s high society,” he added.
South Delhi businessman SK Khurana, though hesitant initially, did agree that these things are common in Delhi and media shouldn’t overreact. “Why is that Arnab behaving like a rabid mongrel over this issue. If he hadn’t brandished the weapon then it would have been a national crisis,” he said.
“I remember once I had an argument with a man after he cut me in traffic. We were talking like gentlemen and sorting the issue when some bystanders got restless and asked when are we going to start fighting. They were not happy with our politeness and wanted to hear some cuss words,” he recollected.
A senior bureaucrat, while commenting in the incident said that people coming from outside should respect the culture of Delhi. “Please liberally flaunt your political connections. Invest in a gun if you can afford it, especially the high society types. Carry a baseball bat in you car to start a road rage without provocation. In fact car dealers should give baseball bats as standard accessory,” he suggested.",INDIA
"In a bid to solicit support from Govt, lawyers advise MJ Akbar to change his name to MJ Amar","With fresh allegations against MJ Akbar cropping up with each passing day, the Minister of State for External Affairs is finding it extremely difficult to sort his own affairs. With elections just a few months away the ruling party too is keeping a safe distance from MJ Akbar.
According to sources, the Whatsapp group admin of BJP has removed the minister from the group. And to make matters worse party spokesperson are sulking away from TV debates to avoid making any comments on the ministers involvment.
Left with no other option, on advice of his lawyers MJ Akbar is all set to rename himself as MJ Amar to find favor with the Govt.
Speaking to Faking News one of the lawyer said, “With the renaming of Allahabad to Prayagraj it is clear what the priorities are. So we thought if our client opts for a more ‘Hindu’ sounding name. So we suggested replacing Akbar with Amar, after the famous character in the movie Amar Akbar Anthony.”
Though critics say that this cosmetic change might not yield much, the name change has already started working for the minister. No sooner the announcement was made, he was added back to the Whatsapp group from which the had been ousted.
The Opposition party however was in not mood to let go this opportunity to corner the Govt. “Why Amar? why not Anthony? questioned Rahul Gandhi while speaking at a rally",INDIA
Shashi Tharoor's new book comes with a pocket dictionary,"Shashi Tharoor is ready with his new book “The Paradoxical Prime Minister” which has words many of us would be reading for the first time and might not be aware of what they mean. In order to resolve the issue, Shashi Tharoor has requested the publication to provide a free pocket dictionary along with the book.
A recent tweet of Shashi Tharoor got widely discussed as it had words no one had ever heard. In fact, many said that Shashi Tharoor concocts random words and makes it so popular that they eventually land up getting a place in the Oxford dictionary.
Seeing the reaction of people who failed to understand the meaning of various words of his tweets, Shashi Tharoor postponed the launch of his book only to provide a free dictionary along with it.
It has also been learned that various aptitude coaching classes including those for CAT Exams have pre-ordered the book as it would help MBA aspirants learn new words that appear in exam and are not used elsewhere easily.",INDIA
FIR against Delhi man for threatening couple by wearing pink pants in public,"A case has been registered against former BSP MLA’s brother for threatening a couple outside a 5 star hotel in Delhi. A video which went viral on social media shows the man brandishing a gun while the couple is seen to on the defense.
Eyewitness, however say that it is not gun that scared the couple, but the pink pants worn by the man which came across as threatening.
Speaking to our reporter the couple said, “It was a small argument which escalated. But we were totally caught off guard by the attackers pink pants. I mean, are we living in a civilized society. How can someone do this so brazenly.”
Hotel staff who were witness to the incident called the cops before the situation went out of hand. “You never know what a man wearing pink pants can do. This could have easily gone out of control, so we called the cops to apprehend the alleged attacker.”
Sources say an FIR has been registered and the aforementioned MLA’s brother would be arrested soon. “The man has been arrested under charges of sartorial terrorism and our investigation is going on,” said a police officer.
Surprisingly, the man was also carrying a gun but the FIR makes no mention of it. The accused meanwhile called the entire incident as politically motivated and said that he was being unfairly targeted. “Pink is my favorite color. I bought this expensive pant from a boutique. See I haven’t even removed the price tag. How can they dictate what I should wear in public.”
Under intense media pressure, the cops are not taking any chances and have confiscated the pants and it will be sent to forensic lab for investigation.",INDIA
"After changing the name of Allahabad to Prayagraj, Govt to replace the word 'Sexual Harrasment' with 'Teasing' to show India in better light","New Delhi: After much debate and criticism, the Uttar Pradesh government Tuesday approved the proposal to rename Allahabad as ‘Prayagraj’. The move was announced by Minister Siddharth Nath Singh. Singh, talking to reports, said that all departments like Railways would be asked to change the name to Prayagraj from Allahabad. Taking a cue from the UP government, the center has also decided to do some name changes.
The word ‘sexual harassment’ will be replaced by ‘Teasing’, ‘Riots’ to ‘fights’ and ‘corruption’ to ‘service charge’. Rajnath Singh headed Home ministry has made a sil=milar list of 100 words to be changed to show India in a better light. The human index of India has been falling down continuously and the government had to take this stern measures to show India as an example of a progressing society to the world forum.
Rajnath Singh has promised that Oxford dictionary board has been given the list and they will make the required changes in the Indian edition of the dictionary to gives a great victory to Indian culture and its progressiveness. Shashi Tharoor’s help was taken initially to understand the meaning of some words and then replace it with another word but no one in the committee understood the difficult words which Tharoor suggested so finally simple words were used after consulting class 2-3 English teachers in the country.",INDIA
Bengaluru couple going for a weekend outing returns after spending quality time at different traffic signals,"Bengaluru: Prakash and Rita, returned from their weekend trip after spending quality hours at different traffic bottlenecks inside the city.
Prakash who has spent more time with Silk Board signal than with his wife Rita wanted to surprise her on their first anniversary. Alas, city traffic had some other plan.
The blame game started between the two after they realized, forget about the outing, it will be a struggle to catch their Monday morning office cab.   
“I could have taken her to a nearby bowling alley, could have cut a love shaped strawberry cake along with candlelight dinner. Yeh toh koi bhi kar sakta tha. Wanted to try something different,” said Prakash.
He added, “What was the reason for Rita to try all those outfits, do so much makeup. 2 AM (when we started) ko kaun check karta hai road pe tum kaisi dikh rahe ho. Yeh baar baar gaadi stop karke, selfie leke social media mein upload karne ka bimari, that’s what spoiled our plan”.
Rita has a different take, “My friends had warned me, two days is not sufficient to get out of Whitefield only.  Why did Prakash plan a trip like this? Mein toh yahan abhi abhi aayee hoon, he is staying here for last eight years”.
Though the couple did not anticipate the traffic correctly, their friends, colleagues and well-wishers staying in the city knew where they would be looking at Rita’s social media updates. They ‘correctly’ sent the couple bouquet, gifts marking the major signals as their address.
Disheartened Prakash and Rita while returning met their neighbors leaving for their home town in Tamil Nadu near their residence. To Prakash’s query “Are you going for Dussehra?” Neighbours replied, “Kaun kambakht hai jo dusshra ke liye abhi niklega, hum toh nikle hain ki, Diwali tak ghar pahunch sakke”.",INDIA
Most people bought tickets to open their food stall inside the venue: Organizers of Bryan Adams Ahmedabad concert reveal,"Though reports in newspapers which reported that the Bryan Adams concert was a huge success, new revelations from concert organizers have a different story to tell.
According to one concert organizer most of the tickts wre bought by people who wanted to open their foodstalls inside the venue and make money. “The Gujarti spirit of entrepreneurship and love for making money triumphed their love for music. Around 15000 tickets were sold and there were 10000 stalls of food and beverages,” said the organizer.
“When Bryan took to the stage he was shocked to see the stadium filled with stalls. And immediately went off stage to check if the had accidentally reached a different venue,” he added.
The singer continued with his performance to prevent further embarassment for the organizers.
But some who actually came to listen to the music were left disappointed. “It’s surreal when crowds sing along with the performer. But out of the 5000 who were not selling their stuff, only a handful knew the lyrics. It was a let down if you ask me,” said one attendee.
Not everyone was left disappointed. Jignesh Shah, who runs a snacks stall in Ahmedabad made a cool profit of 1lakh rupees. “When I bought the 10k concert ticket. My family was angry with me for having spent spent so much money. But after I managed to sell theplas and khakras worth a lakh, they are happy. I hope there are more such concerts in the city in future,” he said with a smile.",INDIA
Oyo Rooms starts listing 'Dalit homes' for politicians who want to visit Dalits as elections approach,"Mumbai: OYO rooms which are the biggest online hotel and accommodation marketplace in India, yesterday came up with a great idea to solve the problems Politicians are facing. With elections scheduled in some big states and also the Lok Sabha elections of 2019 approaching fast, Oyo Rooms is providing homes where Dalits stay, for politicians to select a suitable home and pay a visit.
Last year there was a tremendous increase in no of politicians visiting Dalits and other people of scheduled caste and tribe. Amit Shah, Rahul Gandhi, and leaders from smaller parties never miss a chance to visit such places to get the sympathy vote from the voters.
With some big states like Madhya Pradesh and Rajasthan going to polls in the coming months, politicians have little time in finding out which places to visit so Oyo has made the listing for them to pick and choose from the given options. OYO is also running an offer where if you visit a home of a Dalit, your visit to the home of another Dalit is free. so it is a one plus one offer, which small politicians can use as the bigger one doesn’t have a shortage of money or resources.
Looking at OYO, other players like zostel have also started ideating about the type of listings they can provide to attract more politicians.",INDIA
Buzzfeed writer who wrote '7 ways to keep relation' gets dumped by girlfriend for spending too much time in Article writing,"Mumbai: Oh, BuzzFeed. Sure, the website churns out some quality pieces. However, their clickbait headlines are an ongoing internet joke. Their ability to turn everything into a “top 10” list is extraordinary. Sometimes we don’t even have knowledge about kind of items they include in their lists. ‘7 ways to find if your GF is cheating on you’, ‘ 8 signs of you being in love’ and many more.
Harneet Ahuja has been a Buzzfeed writer for years and has continuously churned out some interesting lists. His last titled ‘9 ways to ask for pocket money’ went viral and parents almost filed a case against him. Harneet is a brave writer, a category which is seeing its number going down and down. He again created a buzz on Saturday with his article ‘7 ways to keep your job’. This time though, the article didn’t strike a chord with the youth which is already aware of ways to keep their job and work towards a brighter future. It didn’t stop at that, as Harneet had to let go his own job after his boss fired him for the lack of engagement on his piece. It is shocking to learn that even after knowing the 7 ways to keep one’s job, Harneet himself forgot to apply those principles in real life. Harneet’s loss has opened the eyes of many other aspiring writers as they are clear now that what matters in the industry is the ‘NO OF LIKES’ on the article and not the quality.
My request to all readers would be to please like, share and comment on the Facebook post of this article and help me save my job.",INDIA
