HEADING,BODY,CATEGORY
mumbai|man|prai|singl|buttock|next|birth|enabl|sit|comfort|fourth|passeng|seat|meant|three|local|train,peopl|prai|wealth|health|job|relationship|hiren|desai|someth|even|god|would|shock|hear|30|year|old|busi|man|mira|road|regularli|commut|local|train|ask|singl|buttock|next|birth|prayer|reason|uniqu|request|enabl|sit|fourth|passeng|local|train|seat|meant|three|speak|fake|new|hiren|said|travel|train|sinc|last|ten|year|seat|alreadi|taken|enter|compart|leav|uncomfort|fourth|seat|on|buttock|left|hang|without|support|end|dai|left|on|sore|butt|prayer|almighti|give|on|buttock|hiren|request|struck|chord|mani|passeng|brave|heavi|rush|local|train|year|citi|base|cosmet|surgeon|even|offer|surgic|remov|on|hiren|buttock|free|charg|wait|next|birth|help|man|life|said|doctor|new|went|viral|social|media|railwai|minist|piyush|goyal|assur|set|special|committe|studi|find|solut|problem|committe|head|retir|iit|professor|report|expect|tabl|year|tv|person|ekta|kapoor|move|hiren|plight|produc|tv|show|titl|agl|janam|mohe|ek|buttock|hi|dijo|revolv|around|local|train|travel|tusshar|kapoor|plai|protagonist|seri,INDIA
try|fit|delhi|cultur|brandish|gun|sai|ex|bsp|mp|son|accus,putt|across|side|stori|ex|bsp|mp|son|ashish|pandei|admitt|brandish|gun|seen|video|done|fit|typical|delhi|cultur|elaborat|typical|delhi|cultur|said|delhi|thing|know|tu|jaanta|hai|mera|baap|kaun|hai|work|whip|gun|done|scare|tactic|actual|shoot|someon|lucknow|even|fight|done|tehzeeb|would|treat|like|outcast|tri|delhi|carri|gun|basebal|bat|car|show|part|delhi|high|societi|add|south|delhi|businessman|sk|khurana|though|hesit|initi|agre|thing|common|delhi|media|overreact|arnab|behav|like|rabid|mongrel|issu|brandish|weapon|would|nation|crisi|said|rememb|argument|man|cut|traffic|talk|like|gentlemen|sort|issu|bystander|got|restless|ask|go|start|fight|happi|polit|want|hear|cuss|word|recollect|senior|bureaucrat|comment|incid|said|peopl|come|outsid|respect|cultur|delhi|pleas|liber|flaunt|polit|connect|invest|gun|afford|especi|high|societi|type|carri|basebal|bat|car|start|road|rage|without|provoc|fact|car|dealer|give|basebal|bat|standard|accessori|suggest,INDIA
bid|solicit|support|govt|lawyer|advis|mj|akbar|chang|name|mj|amar,fresh|alleg|mj|akbar|cropp|pass|dai|minist|state|extern|affair|find|extrem|difficult|sort|affair|elect|month|awai|rule|parti|keep|safe|distanc|mj|akbar|accord|sourc|whatsapp|group|admin|bjp|remov|minist|group|make|matter|wors|parti|spokesperson|sulk|awai|tv|debat|avoid|make|comment|minist|involv|left|option|advic|lawyer|mj|akbar|set|renam|mj|amar|find|favor|govt|speak|fake|new|on|lawyer|said|renam|allahabad|prayagraj|clear|prioriti|thought|client|opt|hindu|sound|name|suggest|replac|akbar|amar|famou|charact|movi|amar|akbar|anthoni|though|critic|sai|cosmet|chang|might|yield|much|name|chang|alreadi|start|work|minist|sooner|announc|made|add|back|whatsapp|group|oust|opposit|parti|howev|mood|let|go|opportun|corner|govt|amar|anthoni|question|rahul|gandhi|speak|ralli,INDIA
shashi|tharoor|new|book|come|pocket|dictionari,shashi|tharoor|readi|new|book|paradox|prime|minist|word|mani|us|would|read|first|time|might|awar|mean|order|resolv|issu|shashi|tharoor|request|public|provid|free|pocket|dictionari|along|book|recent|tweet|shashi|tharoor|got|wide|discuss|word|on|ever|heard|fact|mani|said|shashi|tharoor|concoct|random|word|make|popular|eventu|land|gett|place|oxford|dictionari|see|reaction|peopl|fail|understand|mean|variou|word|tweet|shashi|tharoor|postpon|launch|book|provid|free|dictionari|along|also|learn|variou|aptitud|coach|class|includ|cat|exam|pre|order|book|would|help|mba|aspir|learn|new|word|appear|exam|us|elsewher|easili,INDIA
fir|delhi|man|threaten|coupl|wear|pink|pant|public,case|regist|former|bsp|mla|brother|threaten|coupl|outsid|5|star|hotel|delhi|video|went|viral|social|media|show|man|brandish|gun|coupl|seen|defens|eyewitness|howev|sai|gun|scare|coupl|pink|pant|worn|man|came|across|threaten|speak|report|coupl|said|small|argument|escalat|total|caught|guard|attack|pink|pant|mean|live|civiliz|societi|someon|brazenli|hotel|staff|wit|incid|call|cop|situat|went|hand|never|know|man|wear|pink|pant|could|easili|gone|control|call|cop|apprehend|alleg|attack|sourc|sai|fir|regist|aforement|mla|brother|would|arrest|soon|man|arrest|charg|sartori|terror|investig|go|said|polic|offic|surprisingli|man|also|carri|gun|fir|make|mention|accus|meanwhil|call|entir|incid|polit|motivat|said|unfairli|target|pink|favorit|color|bought|expens|pant|boutiqu|see|even|remov|price|tag|dictat|wear|public|intens|media|pressur|cop|take|chanc|confiscat|pant|sent|forens|lab|investig,INDIA
chang|name|allahabad|prayagraj|govt|replac|word|sexual|harras|teas|show|india|better|light,new|delhi|much|debat|critic|uttar|pradesh|govern|tuesdai|approv|propos|renam|allahabad|prayagraj|move|announc|minist|siddharth|nath|singh|singh|talk|report|said|depart|like|railwai|would|ask|chang|name|prayagraj|allahabad|take|cue|govern|center|also|decid|name|chang|word|sexual|harass|replac|teas|riot|fight|corrupt|servic|charg|rajnath|singh|head|home|ministri|made|sil|milar|list|100|word|chang|show|india|better|light|human|index|india|fall|continu|govern|take|stern|measur|show|india|exampl|progress|societi|world|forum|rajnath|singh|promis|oxford|dictionari|board|given|list|make|requir|chang|indian|edit|dictionari|give|great|victori|indian|cultur|progress|shashi|tharoor|help|taken|initi|understand|mean|word|replac|anoth|word|on|committe|understood|difficult|word|tharoor|suggest|final|simpl|word|us|consult|class|2|3|english|teacher|countri,INDIA
bengaluru|coupl|go|weekend|out|return|spend|qualiti|time|differ|traffic|signal,bengaluru|prakash|rita|return|weekend|trip|spend|qualiti|hour|differ|traffic|bottleneck|insid|citi|prakash|spent|time|silk|board|signal|wife|rita|want|surpris|first|anniversari|ala|citi|traffic|plan|blame|game|start|two|realiz|forget|out|struggl|catch|mondai|morn|offic|cab|could|taken|nearbi|bowl|allei|could|cut|love|shape|strawberri|cake|along|candlelight|dinner|yeh|toh|koi|bhi|kar|sakta|tha|want|try|someth|differ|said|prakash|add|reason|rita|try|outfit|much|makeup|2|start|ko|kaun|check|karta|hai|road|pe|tum|kaisi|dikh|rahe|ho|yeh|baar|baar|gaadi|stop|kark|selfi|leke|social|media|mein|upload|karn|ka|bimari|spoil|plan|rita|differ|take|friend|warn|two|dai|suffici|get|whitefield|prakash|plan|trip|like|mein|toh|yahan|abhi|abhi|aayee|hoon|stai|last|eight|year|though|coupl|anticip|traffic|correctli|friend|colleagu|well|wisher|stai|citi|knew|would|look|rita|social|media|updat|correctli|sent|coupl|bouquet|gift|mark|major|signal|address|dishearten|prakash|rita|return|met|neighbor|leav|home|town|tamil|nadu|near|resid|prakash|queri|go|dussehra|neighbour|repli|kaun|kambakht|hai|jo|dusshra|ke|liye|abhi|niklega|hum|toh|nikl|hain|ki|diwali|tak|ghar|pahunch|sakk,INDIA
peopl|bought|ticket|open|food|stall|insid|venu|organ|bryan|adam|ahmedabad|concert|reveal,though|report|newspap|report|bryan|adam|concert|huge|success|new|revel|concert|organ|differ|stori|tell|accord|on|concert|organ|tickt|wre|bought|peopl|want|open|foodstal|insid|venu|make|monei|gujarti|spirit|entrepreneurship|love|make|monei|triumph|love|music|around|15000|ticket|sold|10000|stall|food|beverag|said|organ|bryan|took|stage|shock|see|stadium|fill|stall|immedi|went|stage|check|accident|reach|differ|venu|add|singer|continu|perform|prevent|embarass|organ|actual|came|listen|music|left|disappoint|surreal|crowd|sing|along|perform|5000|sell|stuff|hand|knew|lyric|let|ask|said|on|attende|everyon|left|disappoint|jignesh|shah|run|snack|stall|ahmedabad|made|cool|profit|1lakh|rupe|bought|10k|concert|ticket|famili|angri|spent|spent|much|monei|manag|sell|thepla|khakra|worth|lakh|happi|hope|concert|citi|futur|said|smile,INDIA
oyo|room|start|list|dalit|home|politician|want|visit|dalit|elect|approach,mumbai|oyo|room|biggest|onlin|hotel|accommod|marketplac|india|yesterdai|came|great|idea|solv|problem|politician|face|elect|schedul|big|state|also|lok|sabha|elect|2019|approach|fast|oyo|room|provid|home|dalit|stai|politician|select|suitabl|home|pai|visit|last|year|tremend|increas|politician|visit|dalit|peopl|schedul|cast|tribe|amit|shah|rahul|gandhi|leader|smaller|parti|never|miss|chanc|visit|place|get|sympathi|vote|voter|big|state|like|madhya|pradesh|rajasthan|go|poll|come|month|politician|littl|time|find|place|visit|oyo|made|list|pick|choos|given|option|oyo|also|runn|offer|visit|home|dalit|visit|home|anoth|dalit|free|on|plu|on|offer|small|politician|us|bigger|on|shortag|monei|resourc|look|oyo|player|like|zostel|also|start|ideat|type|list|provid|attract|politician,INDIA
buzzfe|writer|wrote|7|wai|keep|relat|get|dump|girlfriend|spend|much|time|articl|write,mumbai|oh|buzzfe|sure|websit|churn|qualiti|piec|howev|clickbait|headlin|ongo|internet|joke|abil|turn|everyth|top|10|list|extraordinari|sometim|even|knowledg|kind|item|includ|list|7|wai|find|gf|cheat|8|sign|love|mani|harneet|ahuja|buzzfe|writer|year|continu|churn|interest|list|last|titl|9|wai|ask|pocket|monei|went|viral|parent|almost|file|case|harneet|brave|writer|categori|see|number|go|creat|buzz|saturdai|articl|7|wai|keep|job|time|though|articl|strike|chord|youth|alreadi|awar|wai|keep|job|work|toward|brighter|futur|stop|harneet|let|go|job|boss|fire|lack|engag|piec|shock|learn|even|know|7|wai|keep|on|job|harneet|forgot|appli|principl|real|life|harneet|loss|open|eye|mani|aspir|writer|clear|matter|industri|like|articl|qualiti|request|reader|would|pleas|like|share|comment|facebook|post|articl|help|save|job,INDIA
rajnath|singh|peopl|make|music|ly|video|given|prefer|job|requir|badli,new|delhi|launch|2014|music|ly|popular|increas|ever|sinc|app|allow|user|creat|video|choic|us|variou|filter|speed|option|even|year|sinc|music|ly|launch|india|alreadi|15|million|regist|user|youngster|spend|much|time|app|care|whether|need|structur|career|job|type|video|round|make|on|believ|shot|peopl|much|time|hand|everi|neg|aspect|come|bless|disguis|musicali|ly|registr|number|help|govern|find|unemploy|rate|india|track|behavior|lip|sync|vine|danc|stand|comedi|makeup|video|music|ly|huge|pool|talent|govt|want|us|databas|make|sure|person|actual|jobless|grant|mainstream|govt|job|new|process|would|demand|fresher|candid|show|2|3|video|record|music|ly|app|prove|current|work|anywhere|els|true|sens|jobless|commun|india|appear|music|ly|gen|z|youtub|gen|even|though|common|ag|group|music|ly|12|25|limit|ag|peopl|also|make|video|keep|make|fact|base|latest|govern|decis|fact|appli|role|fresher|govern|vacanc|music|ly|soon|becom|aadhar|card|job|market|show|video|take|job,INDIA
